kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
611725-1,Epilobium ciliatum Raf.,36,n,36,"C-ValueDB, Zonneveld, 2019"
611919-1,Epilobium hirsutum L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
611973-1,Epilobium komarovianum H. Lév.,NA,NA,36,"Zonneveld, 2019"
611987-1,Epilobium lanceolatum Sebast. & Mauri,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
612070-1,Epilobium montanum L.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
612128-1,Epilobium obscurum Schreb.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
612155-1,Epilobium palustre L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
612163-1,Epilobium parviflorum Schreb.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
612170-1,Epilobium pedunculare A. Cunn.,NA,NA,NA,NA
612275-1,Epilobium roseum Schreb.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
612378-1,Epilobium tetragonum L.,36,n,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
107260-1,Epimedium alpinum L.,12,n,12,C-ValueDB
20010355-1,Epipactis atrorubens (Hoffm.) Besser,NA,NA,"38, 40, 60","Zonneveld, 2019"
633195-1,Epipactis dunensis (T.Stephenson & T.A.Stephenson) Godfery,NA,NA,NA,NA
633228-1,Epipactis helleborine Crantz,NA,NA,40,Šmarda et al. 2019
633244-1,Epipactis leptochila (Godfery) Godfery,NA,NA,NA,NA
633289-1,Epipactis palustris (L.) Crantz,NA,NA,"40, 40-80","Šmarda et al. 2019, Zonneveld, 2019"
633301-1,Epipactis phyllanthes G.E.Sm.,NA,NA,NA,NA
633313-1,Epipactis purpurata Sm.,NA,NA,NA,NA
20009800-1,Epipactis sancta (P.Delforge) P.Delforge,NA,NA,NA,NA
633401-1,Epipogium aphyllum Sw.,NA,NA,NA,NA
300073-2,Equisetum arvense L.,c.216,n,216,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30041462-2,Equisetum fluviatile L.,c.216,n,216,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
92939-2,Equisetum hyemale L.,c.216,n,216,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30039890-2,Equisetum palustre L.,c.216,n,216,"Šmarda et al. 2019, Zonneveld, 2019"
60437142-2,Equisetum pratense Ehrh.,c.216,n,216,"Šmarda et al. 2019, Zonneveld, 2019"
93010-2,Equisetum ramosissimum Desf.,NA,NA,216,"Šmarda et al. 2019, Zonneveld, 2019"
303325-2,Equisetum sylvaticum L.,c.216,n,216,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
20007435-1,Equisetum telmateia Ehrh.,c.216,n,216,"Šmarda et al. 2019, Zonneveld, 2019"
93031-2,Equisetum variegatum Schleich. ex F.Weber & D.Mohr,216,p,216,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1104599-2,Eragrostis cilianensis (All.) Vignolo ex Janch.,NA,NA,NA,NA
1169955-2,Eragrostis curvula (Schrad.) Nees,NA,NA,NA,NA
401317-1,Eragrostis minor Host,NA,NA,"40, 20-80","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1180620-2,Eragrostis pilosa (L.) P.Beauv.,NA,NA,40,Šmarda et al. 2019
1105499-2,Eragrostis tef (Zucc.) Trotter,NA,NA,40,"C-ValueDB, Zonneveld, 2019"
711189-1,Eranthis hyemalis (L.) Salisb.,NA,NA,"16, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
361790-1,Erepsia heteropetala (Haw.) Schwantes,18,n,NA,NA
328204-1,Erica arborea L.,NA,NA,NA,NA
332092-2,Erica carnea L.,NA,NA,24,Šmarda et al. 2019
328419-1,Erica ciliaris L.,NA,NA,NA,NA
328424-1,Erica cinerea L.,24,n,24,"Zonneveld, 2019"
328639-1,Erica erigena R.Ross,NA,NA,NA,NA
329044-1,Erica lusitanica Rudolphi,NA,NA,NA,NA
329058-1,Erica mackayana Bab.,NA,NA,NA,NA
329733-1,Erica terminalis Salisb.,NA,NA,NA,NA
329737-1,Erica tetralix L.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
332093-2,Erica vagans L.,24,n,NA,NA
93523-2,Erigeron acris L.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
203539-1,Erigeron annuus (L.) Pers.,NA,NA,27,Šmarda et al. 2019
93603-2,Erigeron bonariensis L.,NA,NA,"18, 36, 54","Zonneveld, 2019"
93610-2,Erigeron borealis (Vierh.) Simmons,18,n,NA,NA
203653-1,Erigeron canadensis L.,18,n,18,"Zonneveld, 2019"
60473415-2,Erigeron floribundus (Kunth) Sch.Bip.,NA,NA,54,"Zonneveld, 2019"
203908-1,Erigeron glaucus Ker Gawl.,NA,NA,NA,NA
204028-1,Erigeron karvinskianus DC.,NA,NA,18-54,"Zonneveld, 2019"
204312-1,Erigeron philadelphicus L.,NA,NA,NA,NA
204526-1,Erigeron speciosus (Lindl.) DC.,NA,NA,NA,NA
204572-1,Erigeron sumatrensis Retz.,NA,NA,54,"Zonneveld, 2019"
802227-1,Erinus alpinus L.,NA,NA,14,"Zonneveld, 2019"
1060148-2,Eriocaulon aquaticum (Hill) Druce,64,n,32,C-ValueDB
307335-1,Eriophorum angustifolium Honck.,58,n,58,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
307364-1,Eriophorum gracile W.D.J.Koch ex Roth,NA,NA,76,Šmarda et al. 2019
307375-1,Eriophorum latifolium Hoppe,NA,NA,58,Šmarda et al. 2019
307418-1,Eriophorum vaginatum L.,58,n,58,"Šmarda et al. 2019, Zonneveld, 2019"
372134-1,Erodium aethiopicum (Lam.) Brumh. & Thell.,20,n,NA,NA
372185-1,Erodium botrys (Cav.) Bertol.,NA,NA,NA,NA
96196-2,Erodium brachycarpum (Godr.) Thell.,NA,NA,NA,NA
372219-1,Erodium cicutarium (L.) L'Hér.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
372234-1,Erodium crinitum Carolin,NA,NA,NA,NA
372237-1,Erodium cygnorum Nees,NA,NA,NA,NA
372332-1,Erodium malacoides (L.) L'Hér.,NA,NA,NA,NA
372336-1,Erodium manescavii Coss.,NA,NA,NA,NA
60438187-2,Erodium maritimum (L.) L'Hér.,20,n,NA,NA
372354-1,Erodium moschatum (L.) L'Hér.,20,n,20,"Zonneveld, 2019"
283309-1,Erophila glabrescens Jord.,48| 52| 54| 56,v,NA,NA
283320-1,Erophila majuscula Jord.,14,n,NA,NA
283367-1,Erophila verna (L.) DC.,30-44,v,32,Šmarda et al. 2019
1137625-2,Eruca vesicaria (L.) Cav.,NA,NA,NA,NA
283486-1,Erucastrum gallicum (Willd.) O.E.Schulz,NA,NA,30,"Zonneveld, 2019"
494218-1,Ervilia hirsuta (L.) Opiz,14,n,NA,NA
494223-1,Ervilia sylvatica (L.) Schur,14,n,NA,NA
494256-1,Ervum gracile DC.,NA,NA,NA,NA
494323-1,Ervum tetraspermum L.,14,n,NA,NA
841641-1,Eryngium amethystinum L.,NA,NA,NA,NA
841701-1,Eryngium campestre L.,NA,NA,"14, 28","Šmarda et al. 2019, Zonneveld, 2019"
841804-1,Eryngium giganteum M.Bieb.,NA,NA,16,C-ValueDB
841903-1,Eryngium maritimum L.,16,n,16,"Zonneveld, 2019"
841973-1,Eryngium planum L.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
842084-1,Eryngium variifolium Coss.,NA,NA,16,C-ValueDB
307231-2,Erysimum cheiranthoides L.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
283703-1,Erysimum cheiri (L.) Crantz,NA,NA,14,"Zonneveld, 2019"
324654-2,Erysimum repandum L.,NA,NA,NA,NA
77120232-1,Erythranthe guttata (DC.) G.L.Nesom,28| c.56,v,NA,NA
77120193-1,Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom,32,n,NA,NA
77133323-1,Erythranthe peregrina (Vall.-Marín) G.L.Nesom,92,n,NA,NA
534921-1,Erythronium dens-canis L.,NA,NA,"24, 48","C-ValueDB, Šmarda et al. 2019"
791101-1,Escallonia rubra (Ruiz & Pav.) Pers.,NA,NA,24,C-ValueDB
30043364-2,Eschscholzia californica Cham.,NA,NA,12,C-ValueDB
592965-1,Eucalyptus globulus Labill.,NA,NA,22,C-ValueDB
592987-1,Eucalyptus gunnii Hook.f.,NA,NA,NA,NA
593027-1,Eucalyptus johnstonii Maiden,NA,NA,NA,NA
593162-1,Eucalyptus niphophila Maiden & Blakely,NA,NA,NA,NA
593282-1,Eucalyptus pulchella Desf.,NA,NA,NA,NA
593447-1,Eucalyptus urnigera Hook.f.,NA,NA,NA,NA
593454-1,Eucalyptus viminalis Labill.,NA,NA,NA,NA
160876-1,Euonymus europaeus L.,32,n,"32, 64","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
160944-1,Euonymus japonicus Thunb.,NA,NA,32,"Zonneveld, 2019"
160962-1,Euonymus latifolius (L.) Mill.,NA,NA,64,"Zonneveld, 2019"
205581-1,Eupatorium cannabinum L.,20,n,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
345568-1,Euphorbia amygdaloides L.,20,n,20,"C-ValueDB, Šmarda et al. 2019"
345809-1,Euphorbia boissieriana (Woronow) Prokh.,NA,NA,NA,NA
346016-1,Euphorbia characias L.,NA,NA,20,"Zonneveld, 2019"
346115-1,Euphorbia corallioides L.,26,n,NA,NA
346205-1,Euphorbia cyparissias L.,20| 40,v,"20, 40","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
346333-1,Euphorbia dulcis L.,NA,NA,"12, 18, 20, 24","Šmarda et al. 2019, Zonneveld, 2019"
346448-1,Euphorbia esula L.,60,n,60,"Šmarda et al. 2019, Zonneveld, 2019"
346469-1,Euphorbia exigua L.,24,n,24,"Šmarda et al. 2019, Zonneveld, 2019"
346754-1,Euphorbia helioscopia L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
346847-1,Euphorbia hyberna L.,NA,NA,NA,NA
347072-1,Euphorbia lathyris L.,20,n,NA,NA
347236-1,Euphorbia maculata L.,NA,NA,28,"Zonneveld, 2019"
347318-1,Euphorbia mellifera Aiton,NA,NA,NA,NA
347546-1,Euphorbia oblongata Griseb.,NA,NA,NA,NA
347659-1,Euphorbia paralias L.,16,n,16,"Zonneveld, 2019"
347719-1,Euphorbia peplis L.,NA,NA,NA,NA
347724-1,Euphorbia peplus L.,16,n,"16, 22","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
347813-1,Euphorbia platyphyllos L.,30,n,"28, 30","Šmarda et al. 2019, Zonneveld, 2019"
347863-1,Euphorbia portlandica L.,16| 40,v,NA,NA
348373-1,Euphorbia stricta L.,NA,NA,NA,NA
908730-1,Euphorbia waldsteinii (Soják) Czerep.,NA,NA,NA,NA
30120204-2,Euphrasia arctica Lange ex Rostrp,44,s,NA,NA
802416-1,Euphrasia cambrica Pugsley,NA,NA,NA,NA
802417-1,Euphrasia campbelliae Pugsley,NA,NA,NA,NA
802456-1,Euphrasia confusa Pugsley,44,n,NA,NA
802534-1,Euphrasia foulaensis F. Towns. ex Wettst.,44,n,NA,NA
102141-2,Euphrasia frigida Pugsley,NA,NA,NA,NA
802570-1,Euphrasia heslop-harrisonii Pugsley,NA,NA,NA,NA
802675-1,Euphrasia marshallii Pugsley,44,n,NA,NA
802686-1,Euphrasia micrantha Rchb.,44,p,44,"Zonneveld, 2019"
60463343-2,Euphrasia nemorosa (Pers.) Wallr.,44,n,NA,NA
802732-1,Euphrasia officinalis L.,22,n,22,Šmarda et al. 2019
802740-1,Euphrasia ostenfeldii (Pugsley) Yeo,NA,NA,NA,NA
802783-1,Euphrasia pseudokerneri Pugsley,44,n,NA,NA
802822-1,Euphrasia rivularis Pugsley,22,n,NA,NA
802828-1,Euphrasia rotundifolia Pugsley,NA,NA,NA,NA
802837-1,Euphrasia salisburgensis Funck,44,n,NA,NA
802846-1,Euphrasia scottica Wettst.,44,n,NA,NA
802905-1,Euphrasia tetraquetra (Bréb.) Arrond.,44,n,44,"Zonneveld, 2019"
802943-1,Euphrasia vigursii Davey,22,n,NA,NA
207250-1,Euphrosyne xanthiifolia (Nutt.) A.Gray,NA,NA,NA,NA
1004467-1,Euthamia graminifolia (L.) Elliott,NA,NA,NA,NA
367448-1,Exaculum pusillum (Lam.) Caruel,NA,NA,NA,NA
694519-1,Fagopyrum cymosum (Trevir.) Meisn.,NA,NA,"16, 32",C-ValueDB
694526-1,Fagopyrum esculentum Moench,NA,NA,"16, 32","C-ValueDB, Zonneveld, 2019"
694553-1,Fagopyrum tataricum (L.) Gaertn.,NA,NA,16,"Zonneveld, 2019"
305836-2,Fagus sylvatica L.,24,n,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
842163-1,Falcaria vulgaris Bernh.,NA,NA,22,"Šmarda et al. 2019, Zonneveld, 2019"
694561-1,Fallopia baldschuanica (Regel) Holub,20,n,20,"C-ValueDB, Zonneveld, 2019"
103354-2,Fallopia convolvulus (L.) Á. Löve,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
694568-1,Fallopia dumetorum (L.) Holub,20,n,"20, 40","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
402281-1,Fargesia spathacea Franch.,NA,NA,NA,NA
103504-2,Fascicularia bicolor (Ruiz & Pav.) Mez,NA,NA,NA,NA
90496-1,Fatsia japonica (Thunb.) Decne. & Planch.,NA,NA,"24, 48","Zonneveld, 2019"
207668-1,Felicia bergeriana (Spreng.) O.Hoffm. ex Zahlbr.,NA,NA,NA,NA
842235-1,Ferula communis L.,NA,NA,NA,NA
60443338-2,Festuca arenaria Osbeck,54| 55| 56,vs,NA,NA
402373-1,Festuca armoricana Kerguélen,28,n,NA,NA
77083572-1,Festuca filiformis Pourr.,14,n,14,"C-ValueDB, Šmarda et al. 2019"
972850-1,Festuca gautieri (Hack.) K.Richt.,14,n,NA,NA
20008857-1,Festuca glauca Vill.,NA,NA,42,C-ValueDB
402849-1,Festuca heterophylla Lam.,NA,NA,28,"C-ValueDB, Šmarda et al. 2019"
402876-1,Festuca huonii Auquier,42,n,NA,NA
402992-1,Festuca lemanii T.Bastard,42,n,42,C-ValueDB
89999-3,Festuca longifolia Thuill.,14,n,42,C-ValueDB
403212-1,Festuca ovina L.,14| 28,vs,"14, 28","C-ValueDB, Šmarda et al. 2019"
30010036-2,Festuca rubra L.,41-43| 56| 63| 70,vs,"42, 56",Šmarda et al. 2019
60451281-2,Festuca trachyphylla (Hack.) R.P.Murray,42,n,NA,NA
403725-1,Festuca vivipara (L.) Sm.,21| 28,v,28,C-ValueDB
711233-1,Ficaria verna Huds.,16| 24| 32,vs,"16, 24, 32","C-ValueDB, Šmarda et al. 2019"
852556-1,Ficus carica L.,NA,NA,26,"Zonneveld, 2019"
207886-1,Filago germanica L.,28,n,NA,NA
207913-1,Filago lutescens Jord.,NA,NA,28,"Zonneveld, 2019"
207952-1,Filago pyramidata L.,NA,NA,28,C-ValueDB
724927-1,Filipendula camtschatica (Pall.) Maxim.,NA,NA,NA,NA
724943-1,Filipendula ulmaria (L.) Maxim.,14| 16,v,"14, 16","Šmarda et al. 2019, Zonneveld, 2019"
724945-1,Filipendula vulgaris Moench,14| 15,v,"14, 18","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
842680-1,Foeniculum vulgare Mill.,NA,NA,22,"Zonneveld, 2019"
608900-1,Forsythia suspensa (Thunb.) Vahl,NA,NA,NA,NA
30117681-2,Fragaria ananassa (Duchesne) Duchesne,NA,NA,NA,NA
60441586-2,Fragaria moschata (Duchesne) Weston,NA,NA,42,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30074127-2,Fragaria vesca L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
717344-1,Frangula alnus Mill.,20,n,20,"C-ValueDB, Šmarda et al. 2019"
366294-1,Frankenia laevis L.,30,n,NA,NA
332095-2,Fraxinus angustifolia Vahl,NA,NA,46,"Šmarda et al. 2019, Zonneveld, 2019"
609009-1,Fraxinus excelsior L.,46| 48,v,46,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
609128-1,Fraxinus ornus L.,NA,NA,46,"C-ValueDB, Zonneveld, 2019"
535213-1,Fritillaria meleagris L.,24,n,24,"C-ValueDB, Zonneveld, 2019"
612572-1,Fuchsia magellanica Lam.,NA,NA,44,C-ValueDB
672889-1,Fumaria bastardii Boreau,48,n,NA,NA
672920-1,Fumaria capreolata L.,64,n,"56, 64","Zonneveld, 2019"
672941-1,Fumaria densiflora DC.,NA,NA,NA,NA
673038-1,Fumaria muralis Sond. ex W.D.J.Koch,48,n,"28, 48","C-ValueDB, Zonneveld, 2019"
673047-1,Fumaria occidentalis Pugsley,c.112,n,NA,NA
30017594-2,Fumaria officinalis L.,32| 48,v,"32, 48","Šmarda et al. 2019, Zonneveld, 2019"
673065-1,Fumaria parviflora Lam.,32,n,NA,NA
673083-1,Fumaria purpurea Pugsley,c.80,n,NA,NA
673091-1,Fumaria reuteri Boiss.,48,n,NA,NA
673141-1,Fumaria vaillantii Loisel.,32,n,32,Šmarda et al. 2019
1103403-2,Furcraea parmentieri (Roezl) García-Mend.,NA,NA,NA,NA
535452-1,Gagea bohemica (Zauschn.) Schult. & Schult.f.,60,n,60,Šmarda et al. 2019
535577-1,Gagea lutea (L.) Ker Gawl.,72,n,72,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
535653-1,Gagea serotina (L.) Ker Gawl.,24,n,NA,NA
208410-1,Galactites tomentosus Moench,NA,NA,22,C-ValueDB
332096-2,Galanthus elwesii Hook.f.,NA,NA,"24, 48, 72","C-ValueDB, Zonneveld, 2019"
64496-1,Galanthus nivalis L.,NA,NA,"24, 36, 24-48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
64504-1,Galanthus plicatus M.Bieb.,NA,NA,24,"C-ValueDB, Zonneveld, 2019"
64515-1,Galanthus woronowii Losinsk.,NA,NA,24,"C-ValueDB, Zonneveld, 2019"
208467-1,Galatella linosyris (L.) Rchb.f.,18,n,18,Šmarda et al. 2019
495681-1,Galega officinalis L.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
447028-1,Galeopsis angustifolia Ehrh. ex Hoffm.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
447034-1,Galeopsis bifida Boenn.,32,n,32,"Zonneveld, 2019"
20002432-1,Galeopsis segetum Neck.,NA,NA,16,"Zonneveld, 2019"
447129-1,Galeopsis speciosa Mill.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
447136-1,Galeopsis tetrahit L.,32,n,32,"Šmarda et al. 2019, Zonneveld, 2019"
208554-1,Galinsoga parviflora Cav.,16,n,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
208557-1,Galinsoga quadriradiata Ruiz & Pav.,32,n,"16, 32","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
749481-1,Galium album Mill.,44,n,44,"C-ValueDB, Šmarda et al. 2019"
30007294-2,Galium aparine L.,66,n,"66, 22-88","Šmarda et al. 2019, Zonneveld, 2019"
749626-1,Galium boreale L.,44,n,44,"Šmarda et al. 2019, Zonneveld, 2019"
749757-1,Galium constrictum Chaub.,24,n,NA,NA
750280-1,Galium murale (L.) All.,NA,NA,NA,NA
750339-1,Galium odoratum (L.) Scop.,44,n,"22, 44","Šmarda et al. 2019, Zonneveld, 2019"
750370-1,Galium palustre L.,24| 48| c.96,v,24,Šmarda et al. 2019
750384-1,Galium parisiense L.,NA,NA,NA,NA
750495-1,Galium pumilum Murray,88,p,"44, 66, 88","Zonneveld, 2019"
750586-1,Galium saxatile L.,44,p,44,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
750665-1,Galium spurium L.,NA,NA,20,Šmarda et al. 2019
750676-1,Galium sterneri Ehrend.,22| 44,v,44,C-ValueDB
107226-2,Galium tricornutum Dandy,NA,NA,NA,NA
750789-1,Galium uliginosum L.,22| 88,v,"22, 44","Šmarda et al. 2019, Zonneveld, 2019"
750829-1,Galium verum L.,44| 88,v,"22, 44","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
107379-2,Gamochaeta purpurea (L.) Cabrera,NA,NA,NA,NA
403930-1,Gastridium ventricosum (Gouan) Schinz & Thell.,14,n,NA,NA
403944-1,Gaudinia fragilis (L.) P.Beauv.,NA,NA,14,"Zonneveld, 2019"
330613-1,Gaultheria mucronata (L.f.) Hook. & Arn.,NA,NA,66,"Zonneveld, 2019"
330655-1,Gaultheria procumbens L.,NA,NA,38,"Zonneveld, 2019"
317388-2,Gaultheria shallon Pursh,NA,NA,NA,NA
208720-1,Gazania rigens (L.) Gaertn.,NA,NA,NA,NA
495862-1,Genista aetnensis (Raf. ex Biv.) DC.,NA,NA,NA,NA
495881-1,Genista anglica L.,42,n,"12, 48","Zonneveld, 2019"
496084-1,Genista hispanica L.,NA,NA,NA,NA
496189-1,Genista monspessulana (L.) L.A.S.Johnson,NA,NA,NA,NA
496255-1,Genista pilosa L.,NA,NA,"22, 24, 45, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
496408-1,Genista tinctoria L.,96,n,"48, 96","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
367703-1,Gentiana acaulis L.,NA,NA,NA,NA
367809-1,Gentiana asclepiadea L.,NA,NA,44,"C-ValueDB, Šmarda et al. 2019"
368570-1,Gentiana nivalis L.,NA,NA,NA,NA
368687-1,Gentiana pneumonanthe L.,NA,NA,NA,NA
369094-1,Gentiana verna L.,28,n,28,Šmarda et al. 2019
108639-2,Gentianella amarella (L.) Börner,NA,NA,NA,NA
77068283-1,Gentianella campestris (L.) Börner,NA,NA,36,"Zonneveld, 2019"
77068284-1,Gentianella germanica (Willd.) Börner,NA,NA,NA,NA
369374-1,Gentianopsis ciliata (L.) Ma,NA,NA,44,Šmarda et al. 2019
372911-1,Geranium columbinum L.,18,n,18,"Šmarda et al. 2019, Zonneveld, 2019"
372960-1,Geranium dalmaticum (Beck) Rech.f.,NA,NA,46,C-ValueDB
30210528-2,Geranium dissectum L.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
373013-1,Geranium endressii J.Gay,NA,NA,"26, 28","Zonneveld, 2019"
373130-1,Geranium herrerae R.Knuth,NA,NA,NA,NA
373138-1,Geranium himalayense Klotzsch,NA,NA,NA,NA
373165-1,Geranium ibericum Cav.,NA,NA,NA,NA
373275-1,Geranium lucidum L.,20| 40,vs,"20, 40","Šmarda et al. 2019, Zonneveld, 2019"
373281-1,Geranium macrorrhizum L.,NA,NA,"46, 92","Šmarda et al. 2019, Zonneveld, 2019"
373285-1,Geranium maderense Yeo,NA,NA,NA,NA
373335-1,Geranium molle L.,26,n,26,Šmarda et al. 2019
373379-1,Geranium nodosum L.,NA,NA,28,"Zonneveld, 2019"
373470-1,Geranium phaeum L.,NA,NA,"28, 64","Šmarda et al. 2019, Zonneveld, 2019"
373496-1,Geranium platypetalum Fisch. & C.A.Mey.,NA,NA,NA,NA
322493-2,Geranium pratense L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
373524-1,Geranium psilostemon Ledeb.,NA,NA,NA,NA
373541-1,Geranium purpureum Vill.,32,n,"32, 64","Zonneveld, 2019"
60444752-2,Geranium pusillum L.,NA,NA,26,"Šmarda et al. 2019, Zonneveld, 2019"
322504-2,Geranium pyrenaicum Burm.f.,28,n,"26, 28","Šmarda et al. 2019, Zonneveld, 2019"
997881-1,Geranium reuteri Aedo & Munoz Garm.,NA,NA,NA,NA
109269-2,Geranium robertianum L.,32| 64,v,"32, 64","Šmarda et al. 2019, Zonneveld, 2019"
373602-1,Geranium rotundifolium L.,NA,NA,26,"Zonneveld, 2019"
322494-2,Geranium sanguineum L.,84,p,84,"Šmarda et al. 2019, Zonneveld, 2019"
322492-2,Geranium sylvaticum L.,28,n,28,"Šmarda et al. 2019, Zonneveld, 2019"
373798-1,Geranium versicolor L.,NA,NA,NA,NA
997886-1,Geranium yeoi Aedo & Munoz Garm.,NA,NA,NA,NA
725292-1,Geum macrophyllum Willd.,NA,NA,42,"Zonneveld, 2019"
725342-1,Geum quellyon Sweet,NA,NA,NA,NA
725355-1,Geum rivale L.,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
725399-1,Geum urbanum L.,42,n,42,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
110013-2,Gilia capitata Sims,NA,NA,18,"Zonneveld, 2019"
262125-1,Ginkgo biloba L.,NA,NA,24,"Zonneveld, 2019"
437372-1,Gladiolus communis L.,NA,NA,"60, 90, 120","Zonneveld, 2019"
20008765-1,Gladiolus illyricus W.D.J.Koch,60,n,NA,NA
673167-1,Glaucium flavum Crantz,12,n,12,"Zonneveld, 2019"
1013480-1,Glebionis coronaria (L.) Cass. ex Spach,NA,NA,NA,NA
209007-1,Glebionis segetum (L.) Fourr.,18,n,NA,NA
447338-1,Glechoma hederacea L.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
404069-1,Glyceria canadensis (Michx.) Trin.,NA,NA,NA,NA
404078-1,Glyceria declinata Bréb.,20,n,20,"Šmarda et al. 2019, Zonneveld, 2019"
404100-1,Glyceria fluitans (L.) R.Br.,40,n,40,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
404141-1,Glyceria maxima (Hartm.) Holmb.,60,n,60,"C-ValueDB, Šmarda et al. 2019"
60437219-2,Glyceria notata Chevall.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
60450240-2,Glycine max (L.) Merr.,NA,NA,40,"C-ValueDB, Zonneveld, 2019"
210174-1,Gnaphalium uliginosum L.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
327353-2,Gonocarpus micranthus Thunb.,NA,NA,NA,NA
1088707-2,Goodyera repens (L.) R.Br.,30,n,30,"Zonneveld, 2019"
210666-1,Grindelia stricta DC.,NA,NA,NA,NA
271806-1,Griselinia littoralis (Raoul) Raoul,NA,NA,NA,NA
602950-1,Groenlandia densa (L.) Fourr.,NA,NA,30,"Šmarda et al. 2019, Zonneveld, 2019"
210735-1,Guizotia abyssinica (L.f.) Cass.,NA,NA,30,"C-ValueDB, Zonneveld, 2019"
324610-2,Gunnera manicata Linden ex Delchev.,NA,NA,34,C-ValueDB
430194-1,Gunnera tinctoria (Molina) Mirb.,NA,NA,NA,NA
998315-1,"Gymnadenia borealis (Druce) R.M.Bateman, Pridgeon & M.W.Chase",40,n,NA,NA
636509-1,Gymnadenia conopsea (L.) R.Br.,40,n,"40, 80","Šmarda et al. 2019, Zonneveld, 2019"
636518-1,Gymnadenia densiflora (Wahlenb.) A.Dietr.,NA,NA,40,Šmarda et al. 2019
17112110-1,Gymnocarpium dryopteris (L.) Newman,160,n,160,"C-ValueDB, Šmarda et al. 2019"
17112130-1,Gymnocarpium robertianum (Hoffm.) Newman,c.160,n,160,Šmarda et al. 2019
154453-1,Gypsophila elegans M.Bieb.,NA,NA,NA,NA
154563-1,Gypsophila paniculata L.,NA,NA,34,"Zonneveld, 2019"
638409-1,Hammarbya paludosa (L.) Kuntze,NA,NA,NA,NA
90646-1,Hedera algeriensis Hibberd,NA,NA,NA,NA
90679-1,Hedera colchica (K.Koch) K.Koch,NA,NA,192,C-ValueDB
90723-1,Hedera helix L.,48,p,48,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
